全音符	全音符 𝅝
二分音符	二分音符 𝅗𝅥
四分音符	四分音符 𝅘𝅥
八分音符	八分音符 𝅘𝅥𝅮
十六分音符	十六分音符 𝅘𝅥𝅯
三十二分音符	三十二分音符 𝅘𝅥𝅰
六十四分音符	六十四分音符 𝅘𝅥𝅱
一百二十八分音符	一百二十八分音符 𝅘𝅥𝅲
全休止符	全休止符 𝄻
二分休止符	二分休止符 𝄼
四分休止符	四分休止符 𝄽
八分休止符	八分休止符 𝄾
十六分休止符	十六分休止符 𝄿
三十二分休止符	三十二分休止符 𝅀
六十四分休止符	六十四分休止符 𝅁
一百二十八分休止符	一百二十八分休止符 𝅂
升記號	升記號 ♯
升记号	升记号 ♯
降記號	降記號 ♭
降记号	降记号 ♭
還原記號	還原記號 ♮
还原记号	还原记号 ♮
重升記號	重升記號 𝄪
重升记号	重升记号 𝄪
重降記號	重降記號 𝄫
重降记号	重降记号 𝄫
高音譜號	高音譜號 𝄞
高音谱号	高音谱号 𝄞
低音譜號	低音譜號 𝄢
低音谱号	低音谱号 𝄢
左	左 ←
上	上 ↑
右	右 →
下	下 ↓
左上	左上 ↖
右上	右上 ↗
右下	右下 ↘
左下	左下 ↙
負	負 −
负	负 −
根號	根號 √
根号	根号 √
三次根號	三次根號 ∛
三次根号	三次根号 ∛
四次根號	四次根號 ∜
四次根号	四次根号 ∜
正比於	正比於 ∝
正比于	正比于 ∝
無窮大	無窮大 ∞
无穷大	无穷大 ∞
角	角 ∠
平行於	平行於 ∥
平行于	平行于 ∥
交集	交集 ∩
並集	並集 ∪
并集	并集 ∪
積分	積分 ∫
积分	积分 ∫
雙重積分	雙重積分 ∬
双重积分	双重积分 ∬
二重積分	二重積分 ∬
二重积分	二重积分 ∬
三重積分	三重積分 ∭
三重积分	三重积分 ∭
所以	所以 ∴
因爲	因爲 ∵
因为	因为 ∵
相似於	相似於 ∽
相似于	相似于 ∽
全等於	全等於 ≌
全等于	全等于 ≌
垂直於	垂直於 ⊥
垂直于	垂直于 ⊥
約等於	約等於 ≈
约等于	约等于 ≈
不等於	不等於 ≠
不等于	不等于 ≠
包含於	包含於 ⊂
包含于	包含于 ⊂
小於等於	小於等於 ≤
小于等于	小于等于 ≤
大於等於	大於等於 ≥
大于等于	大于等于 ≥
異或	異或 ⊕
异或	异或 ⊕
零次方	零次方 ⁰
一次方	一次方 ¹
二次方	二次方 ²
平方	平方 ²
三次方	三次方 ³
立方	立方 ³
四次方	四次方 ⁴
五次方	五次方 ⁵
六次方	六次方 ⁶
七次方	七次方 ⁷
八次方	八次方 ⁸
